,name,track_id,album,artist,artist_id,release_date,length,popularity,artist_pop,artist_genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,time_signature,playlist
81,Understand Me,7sMGW6lb6zKVvLA9IHUCgG,Understand Me,Tyla Yaweh,1MXZ0hsGic96dWRDKwAwdr,2019-09-26,130428,56,62,"['cali rap', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']",0.282,0.797,0.881,0.0,0.107,-3.972,0.063,90.037,0.835,6,0,4,but my feet in bottega
82,Nikes On,5z14e4rPImlgk40W33dt0U,Nikes On,Healy,2Yhge9MsE7qKcV0eWsuuHM,2020-03-05,162289,52,52,['memphis hip hop'],0.635,0.825,0.313,0.000166,0.107,-9.564,0.218,83.014,0.242,9,1,4,but my feet in bottega
83,Distraction,1oc92BMKYkNxK17C2GtyRM,Distraction,Polo G,6AgTAQt8XS6jRWi4sX7w49,2022-06-03,171319,74,84,['chicago rap'],0.16,0.713,0.689,0.0,0.136,-5.99,0.255,156.934,0.63,11,1,4,but my feet in bottega
84,HIT EM WHERE IT HURTS,7888F1QWPTn4cPbuknNV4T,HIT EM WHERE IT HURTS,PawPaw Rod,23KIrX6iPiVOkx60F4bjNq,2020-09-18,165499,65,55,['indie r&b'],0.122,0.779,0.721,0.00252,0.0765,-6.371,0.214,178.046,0.822,6,1,4,but my feet in bottega
85,Voices,3oC49waSAfdA8MFlrsHKC2,I Was Depressed Until I Made This,Kembe X,4uc4iep3LqgSj8qN4kp7qD,2019-10-25,211394,43,41,"['indie hip hop', 'underground hip hop']",0.105,0.768,0.444,0.0,0.414,-9.975,0.387,77.411,0.305,4,0,4,but my feet in bottega
86,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,2022-12-02,221520,94,92,['rap'],0.417,0.715,0.62,0.0,0.0822,-6.005,0.0484,97.95,0.172,1,0,4,but my feet in bottega
87,Stop Breathing,7adbMZF8ctKOaEFBkA5Qxp,Feed Tha Streets III,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,2022-11-18,111709,65,81,"['melodic rap', 'rap', 'trap']",0.0434,0.586,0.689,0.0,0.184,-6.04,0.425,158.457,0.456,0,1,4,but my feet in bottega
88,life got crazy,5NXthnJecYXjt7sTEWETTY,the highs.,mike.,5G9kmDLg3OeUyj8KVBLzbu,2021-07-23,138928,69,68,"['indie pop rap', 'pop rap', 'rhode island rap']",0.478,0.71,0.543,8.66e-06,0.0988,-9.141,0.0527,83.965,0.481,5,1,4,but my feet in bottega
89,So Sad,5RjXMRZsuBk3jkDLmVQWq0,So Sad,Dell Mac,1EswPCHgI3tydeJlDVMEFl,2022-07-01,169438,56,39,[],0.202,0.585,0.835,0.0,0.135,-4.615,0.0402,160.064,0.558,8,1,4,but my feet in bottega
90,west side boys,49jLgPPsz0o5TXJVoF15mC,white ceilings,whiterosemoxie,3XlPXxJwM5utJ5D0PiBugV,2020-03-27,189695,42,45,['indie hip hop'],0.697,0.686,0.436,0.0,0.193,-7.936,0.181,81.963,0.432,0,1,4,but my feet in bottega
91,Go Again,4pJHOKnhaj53aTQwM0Vigb,Go Again,RIZ LA VIE,0QkgnHpxSCOYdTnhUR9S5k,2021-07-28,145600,51,50,"['bedroom soul', 'pop rap']",0.278,0.759,0.378,1.82e-06,0.0937,-10.902,0.097,149.89,0.182,0,1,4,but my feet in bottega
92,No Love Song,48vfJ79C8OIaG33XdPwkD7,No Love Song,ItsWill,4OiW70QEFqUjcIksQm6EPe,2022-04-05,129866,50,37,[],0.388,0.808,0.558,3.36e-06,0.207,-7.321,0.0587,108.692,0.293,2,0,4,but my feet in bottega
93,Lemme Talk,0ac0M1CAFJa4dbJoJa5HFT,As I Am,Mark Battles,24SwsBq76FnNeXW9Do4wPI,2022-08-05,138217,38,44,"['deep underground hip hop', 'indiana hip hop', 'underground hip hop']",0.0516,0.887,0.603,0.0,0.163,-5.762,0.263,131.912,0.816,11,1,4,but my feet in bottega
94,Planez,08zJpaUQVi9FrKv2e32Bah,Late Nights: The Album,Jeremih,3KV3p5EY4AvKxOlhGHORLg,2015-12-04,240320,71,75,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",0.7,0.688,0.556,1.87e-06,0.108,-7.738,0.264,129.336,0.416,6,1,4,but my feet in bottega
95,Hurt,2hKmsv270gdqt6r5dJjOsE,No Love Lost (Deluxe),Blxst,4qXC0i02bSFstECuXP2ZpL,2020-12-04,138786,58,73,['pop rap'],0.877,0.657,0.606,0.000334,0.106,-3.613,0.26,101.596,0.405,3,0,3,but my feet in bottega
96,Sandman,0qkA0NU7cDKWkFXNGRcNaB,LIVE.LOVE.A$AP,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,2011-10-31,200160,67,83,"['east coast hip hop', 'hip hop', 'rap']",0.143,0.533,0.501,0.000578,0.172,-9.299,0.0436,120.159,0.3,8,1,4,but my feet in bottega
97,Erase Your Social,4uhvMW7ly7tJil31YYscAN,The Perfect LUV Tape,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,2016-08-10,199993,75,87,"['melodic rap', 'philly rap', 'rap', 'trap']",0.694,0.705,0.609,0.0,0.234,-5.728,0.0729,140.058,0.718,3,1,4,but my feet in bottega
98,Key To My Heart,3safBWMqYnBJtNA2428Hmz,Key To My Heart,Fresco Trey,6HgEIsWCHekTTfnbOGJa3g,2022-08-26,154482,55,57,"['memphis hip hop', 'pop rap', 'sad rap']",0.17,0.662,0.44,0.0,0.103,-10.021,0.0919,173.974,0.387,2,0,4,but my feet in bottega
99,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,WUNNA,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,2020-05-22,197760,73,85,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",0.114,0.825,0.458,0.0,0.102,-7.47,0.0577,145.115,0.161,0,1,4,but my feet in bottega
